"cam.id","image.label","area.mm2","elip.major.axis","elip.minor.axis","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","aspect.ratio","roundness","Solidity","XStart","YStart","group","side","wing","altitude","sex","genus","species","subsp","sp.subsp","envelopes.notes","unit.type","country","province","locality","right.forewing.broken","right.forewing.pred","pred.present","pred.score","unsure.pred","error.affects.length.small","error.affects.length.big","pred.more.1","pred.more.2","latitude","longitude","brood","mother.type","year","genus.sp","clade","mimicry.ring","wing.pattern","larva","sex.quant"
"14N004","14N004_d.JPG",477.571,35.637,17.062,164.346,0.662,37.388,17.593,11.98,162.262,18.775,2.089,0.479,0.975,1096,317,"nn.req4.old.seq","left","forewing",1016,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","","Road to Mashpi 3 (116)","n","n","n","n","n","n","n","n","n",0.19366,-78.8587,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N009","14N009_d.JPG",432.105,33.732,16.31,20.018,0.57,34.929,3.962,28.111,21.715,17.986,2.068,0.484,0.957,1340,471,"nn.req4.old.seq","left","forewing",1016,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","","Road to Mashpi 3 (116)","n","n","n","n","n","n","n","n","n",0.19366,-78.8587,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N014","14N014_d.JPG",462.436,35.072,16.788,25.686,0.655,36.717,1.604,29.667,27.421,17.96,2.089,0.479,0.979,1169,417,"nn.req4.old.seq","left","forewing",1016,"male","Heliconius","erato","cyrbia","erato_cyrbia","","wild","Ecuador","","Road to Mashpi 3 (116)","n","n","n","n","n","n","n","n","n",0.19366,-78.8587,"","",2014,"Heliconius_erato","era.clade","era.mel","blue","solitary",1
"14N015","14N015_d.JPG",475.617,35.878,16.879,30.646,0.584,37.722,5.471,30.493,31.762,18.633,2.126,0.47,0.962,1420,381,"nn.req4.old.seq","left","forewing",1016,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","","Road to Mashpi 3 (116)","n","n","n","n","n","n","n","n","n",0.19366,-78.8587,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N023","14N023_d.JPG",523.071,36.712,18.141,28.769,0.617,38.679,2.901,28.205,27.409,19.849,2.024,0.494,0.971,1287,304,"nn.req4.old.seq","left","forewing",1016,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","","Road to Mashpi 3 (116)","n","n","n","n","n","n","n","n","n",0.19366,-78.8587,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N037","14N037_d.JPG",533.797,37.729,18.014,28.948,0.624,40.484,1.792,28.771,29.372,19.816,2.094,0.477,0.976,1331,272,"nn.req4.old.seq","left","forewing",532,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","Pichincha","Guayllabamba","n","n","n","n","n","n","n","n","n",0.17533,-78.90752,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N038","14N038_d.JPG",484.395,35.659,17.296,28.052,0.552,36.809,5.471,28.276,27.058,18.733,2.062,0.485,0.96,1373,356,"nn.req4.old.seq","left","forewing",532,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","Pichincha","Guayllabamba","n","n","n","n","n","n","n","n","n",0.17533,-78.90752,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N039","14N039_d.JPG",441.998,35.209,15.984,27.683,0.591,37.043,3.396,28.984,24.085,17.639,2.203,0.454,0.955,1268,399,"nn.req4.old.seq","left","forewing",532,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","Pichincha","Guayllabamba","n","n","n","n","n","n","n","n","n",0.17533,-78.90752,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N043","14N043_d.JPG",498.44,36.416,17.427,24.601,0.54,38.184,4.269,27.875,21.447,19.406,2.09,0.479,0.958,1464,403,"nn.req4.old.seq","left","forewing",532,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","Pichincha","Guayllabamba","n","n","n","n","n","n","n","n","n",0.17533,-78.90752,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
"14N044","14N044_d.JPG",534.542,37.565,18.118,28.505,0.608,39.076,3.891,28.465,26.797,19.728,2.073,0.482,0.964,1436,319,"nn.req4.old.seq","left","forewing",532,"male","Heliconius","melpomene","cythera","melpomene_cythera","","wild","Ecuador","Pichincha","Guayllabamba","n","n","n","n","n","n","n","n","n",0.17533,-78.90752,"","",2014,"Heliconius_melpomene","mel.clade","era.mel","blue","solitary",1
